cpg;Coefficient;SE;Pvalue
cg23260105;0.0141003206063799;0.00345453644562599;4.47108684020758e-05
cg01339183;0.0140025250928617;0.00366434355516131;0.000132754592590434
cg14063817;0.0135588744204065;0.00376280823890961;0.000314090865450756
cg20541925;0.012514082173829;0.00348879740876094;0.000334590390599798
cg18274791;0.0122900675157633;0.00343756972510928;0.000349933713021278
cg17124478;0.0134137480881834;0.00386683230157537;0.000522546893604092
cg12730088;-0.0124752213784112;0.00362987511008214;0.000588590208681294
cg12761728;0.0125968458272214;0.00368171464989711;0.000622854868710276
cg00702231;0.0116863546308772;0.0035281334851653;0.000925211902351064
cg18728839;-0.0124902872534658;0.00380823427886312;0.0010387678760968
cg05422029;-0.0108413127242312;0.00333574207267741;0.00115386641384507
cg13090596;0.0110252571463976;0.00341244105290056;0.00123400934259876
cg23044564;0.0122627801848578;0.00380584933753593;0.00127260193775547
cg23972431;0.0116368224358082;0.00361698125896818;0.00129414607138156
cg18724069;0.0127090590810194;0.00395146575227906;0.00129859615218175
cg16443866;-0.0104237061243547;0.00328860014736763;0.00152623510003269
cg03881924;0.011156054994505;0.00352973259421844;0.00157447281703516
cg02775846;-0.0109422257143318;0.00346816646961333;0.00160472648693744
cg17233090;0.0118036626723315;0.00375946171601536;0.00169108534055096
cg18440230;0.0109288446684244;0.00349160724395604;0.00174786876030508
cg15689154;-0.0115718149364266;0.00371181585899784;0.00182353776240463
cg13837913;-0.0118582885305116;0.00382498306757905;0.00193377032736397
cg17491656;0.0111044761190352;0.00361386420590061;0.00212101032271306
cg17083940;0.0103154760602492;0.00337352489634116;0.00222987823873633
cg10895184;-0.0108748410067826;0.00355982653852878;0.00225150986404776
cg15168577;0.0101237279012421;0.00332890094585271;0.00235666797418144
cg08198704;0.0112944115386581;0.00371826252091555;0.00238509147672517
cg17436861;-0.011511726317188;0.00380904712968245;0.00250939445413334
cg09741240;0.00964834118983488;0.003196704830945;0.00254268777200317
cg16032518;0.00986208296099385;0.00328359515749806;0.00266945666751561
cg17679824;-0.0098338160057432;0.00328028844547775;0.00271890564170363
cg07735885;-0.0104622850296716;0.00350022267460324;0.00279860870348847
cg17840719;-0.00700389643498318;0.0023492222076216;0.00286963520251504
cg15016296;0.00958162562533759;0.00326077368383082;0.00329856164442699
cg21050001;0.0116737068530376;0.00397285840539648;0.00329948650684053
cg09506504;-0.00925692536454348;0.00315354397127636;0.00333113744831082
cg17752088;0.00936713223270961;0.00319817969297535;0.00340169407541846
cg08671671;0.00930387951003305;0.00317727025086327;0.00340862760870253
cg03715204;0.0107250278372777;0.0036626235001592;0.00340890635147184
cg18773383;0.0104235609351269;0.00357199483397741;0.0035213255922254
cg18644481;0.0106004694976413;0.00363459837965132;0.00353931736653323
cg16294325;-0.0109323303642212;0.00375785325722203;0.00362360007140794
cg00197993;0.0105339279239443;0.00363234101294278;0.00373117109551135
cg26419426;-0.0103853730574336;0.0035881002864714;0.0037989212227274
cg26747293;0.0102108390049124;0.00353688339794695;0.00388984339481502
cg10496560;-0.0107044251301715;0.00371022405833984;0.003912700210286
cg21588562;0.0104441817923902;0.00365127585277425;0.0042308053110871
cg10964887;-0.0102739286486743;0.00359563329993182;0.00427214769967366
