cpg;Coefficient;SE;Pvalue
cg11423909;0.0310837861375571;0.011913115526587;0.0096114001179275
cg22407942;0.0308235092668788;0.0124677430502934;0.0140793694903226
cg04907244;0.0304448688712012;0.01248955603794;0.0154680062432114
cg05603985;0.0286287754154467;0.0123616546001399;0.0213555388285236
cg18181703;0.0278219970367057;0.0121802375119523;0.0231825949063946
cg27039118;0.0249963819245187;0.011699735894527;0.0335915754328495
cg05575921;0.0189870696379452;0.00933031091925608;0.0428864296837771
cg14930065;-0.0240122757060244;0.012211793779223;0.0503464815612127
cg24240870;0.0219784911071854;0.0117088063979888;0.061647362803712
cg24125648;-0.022818860194598;0.0122624279341303;0.0639125585447459
cg10401362;-0.0204588002412414;0.011615659351732;0.0793840479002569
cg27305772;-0.0182992981290147;0.0113053956893694;0.106762180249178
cg10635092;0.0201261295776256;0.0126072102070234;0.111638379144347
cg02119938;0.020254942585858;0.0128093949269751;0.115058860702287
cg15945333;0.0151780712826201;0.00961966899693675;0.115847492982537
cg09018739;-0.0172446457519232;0.0111718213998263;0.12392918672899
cg03541887;-0.0116677615077433;0.00770689577469293;0.131280043603129
cg16395997;-0.015432074041252;0.0102762790878482;0.134407192839319
cg04305673;0.0194077743514407;0.0130072690979944;0.136916527226788
cg00939727;-0.015413841481108;0.0112291397197928;0.171062694556834
cg26470501;0.0177399958185581;0.0132697826447358;0.18245598797145
cg27160284;-0.0149723032702006;0.0112472735104726;0.184314077612822
cg04232816;-0.0158210344377206;0.0119214579651693;0.185660761866372
cg22524061;-0.0108727413968438;0.00822152901234576;0.18719592283353
cg20761853;-0.0152959810836249;0.0116205167209911;0.189258338963415
cg01676795;-0.0122297628240546;0.00946404988402823;0.197446080530162
cg16158874;-0.0144922577980437;0.0118932156056122;0.2241481939711
cg25790365;-0.0132288403230642;0.0113276561523807;0.2439638348415
cg08051604;0.0136097379561857;0.0124045015135095;0.273605905437458
cg07559427;0.0136989967620793;0.0125316791800624;0.275359847012543
cg12992827;0.0110851863106561;0.0103667507753713;0.285944799829045
cg04424621;0.0123754981250829;0.0116398582505486;0.288697027655556
cg07571951;-0.0127723868112439;0.012446969826257;0.305795990889536
cg10508317;0.0130984094170082;0.0128007698569401;0.30715859543491
cg07573872;0.0131454393111152;0.0133359412939009;0.325207261497418
cg02739870;-0.00697183721352935;0.00726342039513485;0.338036944229189
cg19788934;-0.0115514656210044;0.0121946838920717;0.344406039051403
cg00508575;-0.010003105860164;0.0112127076883371;0.373168476718409
cg11849692;-0.00949515408290844;0.0107366318386554;0.377329642175738
cg13518625;0.0101028764675928;0.0117331269652779;0.390016240320469
cg23570810;0.00865615277834629;0.0101764239672701;0.395784855934106
cg04912710;-0.0108185855717403;0.0127663853977646;0.397551565323154
cg02909097;-0.00956753151110504;0.0114896762930887;0.405789315363763
cg24254842;-0.00723196362685131;0.00893830878302471;0.419213317759116
cg14459011;0.009206551851034;0.0114313565586863;0.421352481633397
cg08335125;-0.00961485425426441;0.0121769917083723;0.43049970660384
cg12269535;0.0102745064699429;0.0130141097735011;0.430559278410371
cg00741986;0.00792002627228662;0.0101254686745593;0.434829442315399
cg02107842;-0.00673994248631549;0.00931924578458085;0.47020247828051
cg04445427;-0.00679281061030296;0.0100387814142304;0.499236992990614
cg05399785;-0.00711773958428086;0.0112139544042962;0.526179032466587
cg26955383;-0.00705116723444712;0.0114820504608625;0.539694422547238
cg02079413;-0.00716941018706656;0.0121247022110531;0.554839145069105
cg25851277;-0.00698787257713648;0.0119316635112113;0.558623407856267
cg05304729;-0.00630830009383623;0.0107748933191302;0.558754269956365
cg16655795;0.00686741903407551;0.0118353432200079;0.562260627185558
cg26227957;-0.00574929265705729;0.0100221481975471;0.566704365723905
cg06298346;-0.0056066612192055;0.010171655811762;0.581976215050291
cg02744249;-0.0046131342011359;0.00841905397958425;0.584212601706536
cg11832534;-0.00678802559117897;0.0125264600004333;0.588364051871884
cg01678580;-0.00646315984393528;0.0119406861500855;0.588792627238425
cg04137490;0.00636544691008247;0.0119377283561665;0.594345055593448
cg23900905;-0.00656333451995109;0.0128119974834951;0.608898223701699
cg27395200;-0.00570683637230433;0.0111900466429874;0.610498058627925
cg18061543;0.0064510601687854;0.0131268785948305;0.623538703458113
cg03084350;-0.00578669872172463;0.0120391775469724;0.631173367790118
