cpg;Coefficient;SE;Pvalue
cg07573872;-1.02620615088638;0.165101914737543;6.48308447998714e-10
cg18181703;-0.872039014328175;0.147139198792431;3.76541039811372e-09
cg10508317;-0.772335451182714;0.14472056991717;1.0792820064757e-07
cg12992827;-0.989193314349905;0.189278403009179;1.95455572706656e-07
cg27637521;-0.760526523256204;0.149942839901111;4.38459217176888e-07
cg13518625;-0.724248522915395;0.155818864458718;3.6209101444682e-06
cg06647068;-0.81115878048948;0.180065602986986;7.11598249847224e-06
cg12269535;-0.685336824642412;0.15792866314451;1.51561118402379e-05
cg26470501;-0.648843110550069;0.149925769070244;1.59792276630472e-05
cg24263283;-0.683176113258092;0.160502263678138;2.19498104512266e-05
cg23919111;-0.821940919366566;0.204659557431159;6.18461141786687e-05
cg04907244;-0.587075941624957;0.150597006722838;0.000100782946584931
cg22407942;-0.573045003673341;0.15142470548254;0.000159677367768273
cg05438378;-0.622117159645787;0.167668111182511;0.000213871258222663
cg02079413;0.655310032689311;0.179868658545567;0.000277616703767918
cg22488164;0.707047056495626;0.196038265316989;0.000319477866919726
cg13976502;-0.523765398215553;0.154508453005997;0.000715933892705734
cg01702055;-0.747619447284057;0.223089390610787;0.000822961793360971
cg03746015;-0.552086150467384;0.165188259088303;0.000850069404798664
cg05575921;0.54659242548388;0.184885436780932;0.00315740421213873
cg08363114;-0.63093645639294;0.213612334278835;0.00318534211423934
cg23261443;-0.672693893970308;0.234370564200181;0.00415489003761433
cg08956463;0.654141524701677;0.233926430483109;0.00522883787417823
cg05689413;-0.434337642243804;0.161159868913554;0.00710958038506507
cg00639656;-0.402540671748813;0.16399735435187;0.0142098989935383
cg11185549;-0.472885907566742;0.193631970083412;0.0147040576571969
cg25296103;-0.406119146360469;0.171582811373964;0.0180540511321604
cg02923485;-0.403260207255822;0.180841614928927;0.0258891012647685
cg01896761;0.436876310464523;0.201760615008677;0.0305078433387706
cg15808924;-0.343616450688156;0.159537203039088;0.0313993305279389
cg25046878;-0.300052871347847;0.162159906409581;0.0644441593373703
cg03819286;0.35051330380776;0.197470599123677;0.0760817390835274
cg24254842;-0.404163107466314;0.228502898790598;0.0771233857089203
cg21121843;-0.279554178925744;0.15916766773616;0.0792161574172475
cg23761815;0.325658953738372;0.186274397350246;0.0806043708937244
cg20761853;0.339029295794195;0.198306533798917;0.0875258122142317
cg16847396;-0.280019860881235;0.16716983307278;0.0941137321716096
cg18491039;-0.235984932910535;0.151247196564355;0.1188923632127
cg09016348;-0.237992838144001;0.154132443593341;0.122763280221903
cg24230340;-0.202550244935993;0.155043985646835;0.191599268914711
cg10922280;0.220279618418891;0.170935927552495;0.197696599351296
cg19788934;0.204693400291751;0.165669491927766;0.216802672109655
cg06126421;-0.194109553832486;0.172862104029712;0.261638504142271
cg01648237;-0.170412771482766;0.153859460443574;0.268204143331447
cg15131784;-0.160980344133352;0.149827229737329;0.282784911184135
cg00711496;-0.132650440722623;0.157826560267965;0.400761404556263
cg19790321;-0.0855259305735533;0.149914479960333;0.568418666258851
cg07571951;-0.0761718635606925;0.155025228745201;0.623244162608266
cg02481950;0.0277546623063031;0.165388098717816;0.866749361063497
cg04412116;0.024198679679753;0.155127964179465;0.876058843205803
cg01543583;-0.0231894794663342;0.158810092747636;0.883923485335919
cg18447299;0.02424401259967;0.176903491327331;0.891010907466339
cg20045320;-0.0141648595301046;0.152590966553833;0.926050850530418
