cpg;Coefficient;SE;Pvalue
cg00551957;-0.0961742717651154;0.0359860221494421;0.00787910294591752
cg00074638;-0.097750502304865;0.0403509273415786;0.015919362661919
cg00619443;-0.0494095901635793;0.023390748347393;0.0353638097070172
cg00240113;0.0231342554657216;0.0112235795984176;0.0400182545855034
cg00688681;0.0524620950040942;0.0266066433484905;0.0494211299114325
cg00016522;-0.0191812897548479;0.00976096393644811;0.0501907140257804
cg00116709;-0.0151572336509089;0.00848865682685918;0.0750294488622762
cg00412010;0.0240621461002034;0.0143478164061411;0.0944210615550206
cg00072288;-0.022106005976801;0.0133710749046181;0.0991698622334195
cg00575851;0.0154304514331641;0.00950655013361401;0.105457450701482
cg27539833;-0.0645116843523694;0.0413602434185367;0.119719865083309
cg00008945;-0.0127447776431278;0.00840622659832203;0.130391180037593
cg00026186;-0.0126451086400638;0.00874237455310628;0.148952987830818
cg00072839;0.0465145473591326;0.0322760415596786;0.150434421448285
cg03706273;0.0420598609331994;0.0292353724980283;0.151139525152608
cg01707559;0.0256262361826775;0.017869303634688;0.152436101269653
cg00729461;-0.0145049195679616;0.0103083944696553;0.160283233740587
cg00668426;-0.0146004661682808;0.0106596258203399;0.171656849855243
cg00391044;0.0170538794112617;0.0125122425775996;0.173763968874224
cg00636562;-0.0157003937160272;0.0130352939097283;0.229230865667709
cg13851368;-0.0168311534156896;0.014077111910055;0.232644333396221
cg00139317;-0.00946605844792142;0.00819401715627153;0.248777873354132
cg00140085;0.00963008412516446;0.00865900581764643;0.266836251882136
cg25032547;-0.0282413858922509;0.0254956636335799;0.268752606168906
cg00206414;0.0344207205136629;0.03147647278472;0.274907543864978
cg00114913;-0.0102379168996276;0.00990145644488558;0.301856956374527
cg00380985;-0.00955573774343425;0.00929213773015581;0.3044848519496
cg00374088;0.0132362537626308;0.0128884168856077;0.305133165546718
cg00266918;0.0356970466674155;0.035248673196186;0.311891367838689
cg00200463;-0.00998365298512636;0.00989544193234671;0.313710725306803
cg00735883;-0.0233177277106023;0.0245646079543776;0.343151269724885
