cpg;Coefficient;SE;Pvalue
cg02650017;-0.95720254156607;0.153666605372847;5.89038834417843e-10
cg04816311;1.25750705067095;0.236632734240449;1.21181339676394e-07
cg12269535;-0.698957461800393;0.153301396019573;5.4949264119583e-06
cg00826902;0.701144044345259;0.173981725526612;5.82220865519302e-05
cg02079413;0.645247370766812;0.174911979593784;0.00023217918002739
cg12728588;0.725093391201605;0.199867368965059;0.000294142139828359
cg04031093;-0.633099533849767;0.175772396038309;0.000325011772426082
cg00994936;0.694309681084182;0.198181770998911;0.000471155616369893
cg01678580;0.507407389442307;0.169532384246309;0.00280215872891888
cg13059136;0.692141166176215;0.23755972691813;0.00361982421538152
cg12736206;0.617202317615676;0.218689857145639;0.00482356377130964
cg22651968;0.637574184989188;0.23978046965146;0.00791045558994622
cg17485681;0.494729082768014;0.196868479003504;0.0120624539131726
cg25113008;0.381986478092361;0.153893851845599;0.0131546526526322
cg18520851;0.390036564420604;0.165697868781259;0.0186898429222265
cg02455723;-0.357580440547739;0.16762874460036;0.0330539704333816
cg23761815;0.360531245915864;0.179842799406976;0.0451519231732905
cg01947769;0.283587369919922;0.144295900085982;0.049538768060082
cg08640498;0.288505642555655;0.1522428194169;0.0582559488537068
cg20761853;0.360747347707172;0.192474605164895;0.06106465373298
cg03819286;0.354341598201085;0.191811404899413;0.0648695668680862
cg00981472;-0.265046373111941;0.146627538299231;0.0708418482637536
cg27395200;0.323281428390848;0.180195955421997;0.0729808094966637
cg22472360;-0.330500365235713;0.193497733904235;0.0878116473744256
cg27128984;-0.239975666648435;0.144750625884882;0.0975298824756914
cg06700877;-0.244726303652518;0.155199832008291;0.115016153048529
cg19375583;-0.248013732819954;0.165887528687107;0.13508016140093
cg24564491;0.219514853056611;0.14689156741509;0.135255325310598
cg15638292;0.182960487660805;0.154786016123418;0.237360901057134
cg24116028;-0.165230274803971;0.146636945401816;0.259985732296699
cg18305324;0.214247225326392;0.220156795884861;0.33061261212079
cg20691612;-0.139152679989329;0.152514646540057;0.361692607582463
cg04995976;-0.122319701381056;0.14824576326668;0.409421578864892
cg12884551;0.117087169402914;0.14789207839071;0.428641184273089
cg20592700;-0.119015436737978;0.153118312648204;0.437102324894868
cg23900905;-0.117704909063678;0.15154672270103;0.437448652052416
cg15770575;-0.0998965214744313;0.149779520041316;0.504889278536258
cg06633543;0.0958596682543511;0.159014983374277;0.546698752406141
cg05400196;0.0647664079957982;0.164958545594011;0.694647295234881
cg07704959;0.0548005472144404;0.145336730394111;0.706176335936102
cg00686926;0.0549028556795355;0.160145772190383;0.73176801576886
cg11498156;0.0363678684763835;0.147694973751083;0.805528845933229
cg15571623;0.0341268997223685;0.147230300241748;0.816726809166186
cg13073141;0.0167438511407964;0.151482891237475;0.911999688813029
cg00881300;-0.00297572463446816;0.151187585473061;0.984299079268544
