cpg;Coefficient;SE;Pvalue
cg27128984;0.0216869329115842;0.00954422747566109;0.0239040916139153
cg20592700;0.0146518330442599;0.00870578325336735;0.0935989760163298
cg02455723;0.0136550127785239;0.00845255556932334;0.10744132533126
cg15571623;-0.0151045334233413;0.00955674764313836;0.115229723788317
cg11498156;0.0132106007079875;0.00905184405871084;0.14567549742589
cg15638292;-0.012813784694567;0.00901411117042711;0.156386012737099
cg02650017;0.0114803107594279;0.00901388462494825;0.203955961386163
cg00981472;0.0115710140617181;0.00921525135207269;0.21039678972841
cg22472360;0.00910607082381998;0.00760259696314184;0.232123403471161
cg12736206;0.00946516718394956;0.00814618393768467;0.246356660649201
cg20691612;0.0103796557024579;0.0092091815499622;0.260760260401966
cg15770575;-0.00914141432593396;0.00857439277740907;0.287373411220529
cg24564491;-0.00984632581425545;0.00936547762498674;0.294096538173939
cg00686926;-0.00896618019257628;0.00896317328607093;0.31809647725123
cg04995976;0.00902846943906956;0.00943319172707685;0.339425342543868
cg02079413;0.00762532064206778;0.00882441511010107;0.388336114373484
cg17485681;0.00571137483423947;0.0070111158697788;0.416051637520461
cg13059136;0.00560487471668508;0.00711666578006965;0.431679512247511
cg27395200;-0.00628975709185605;0.00814513537323714;0.44070498983814
cg06700877;-0.00743869266479706;0.00984741179156295;0.450708746636483
cg00994936;-0.00618495866220249;0.0095816699071673;0.51918423453134
cg04031093;0.00543352598501457;0.00848914949381484;0.522711244473282
cg00881300;0.00556651918142376;0.00889192999279862;0.531862260504449
cg23761815;0.00481800550929252;0.00853548724827844;0.572932153408955
cg06633543;-0.00474391117558609;0.00843069774291027;0.574136969551299
cg23900905;0.00478614630908202;0.00933186737575045;0.608477909034782
cg07704959;0.00463174158091538;0.00913632349454738;0.61262167733678
cg08640498;0.00438490765393723;0.00914537924463505;0.632017377463058
cg04816311;0.00307423112740443;0.00660865682333558;0.642197811589163
cg12269535;0.00435063055168089;0.00948675764546366;0.646911786402379
cg20761853;-0.00360770944217736;0.00848974007950448;0.67123195943235
cg00826902;-0.00268906793430498;0.00869066760245558;0.75725460472268
cg24116028;0.00292056309933762;0.00960704439910081;0.761374095733815
cg18520851;-0.00210460265021811;0.00861887146774514;0.807283582022496
cg12728588;0.00191531577318578;0.00867210175790145;0.825378594994943
cg19375583;0.00160171476761749;0.00846998890927109;0.850161176604529
cg05400196;0.00164150993714123;0.00885780529714587;0.853127007993338
cg13073141;0.00149565137927629;0.00949695326768988;0.87498529254789
cg01678580;0.00102507013439225;0.00870199937371714;0.906321173734829
cg03819286;0.000549550990227565;0.00830424591578779;0.947288674608835
cg18305324;0.000159438583099389;0.00827895330866765;0.984650107912235
